filename,title,feature,topic,role,level
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-other-enhancements.md,23.2 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-look-and-feel.md,Look and feel updates during the 23.2 release time frame,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-release-overview.md,23.1 release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-project-enhancements.md,23.1 Project and Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-agile-enhancements.md,23.1 Agile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-mobile-enhancements.md,23.1 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-other-enhancements.md,23.1 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.1-release-activity/23-1-look-and-feel-updates.md,Look and feel updates during the 23.1 release time frame,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-release-overview.md,22.4 release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-administrator-enhancements.md,22.4 Administrator enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-project-enhancements.md,22.4 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-agile-enhancements.md,22.4 Agile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-resource-management-enhancements.md,22.4 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-other-enhancements.md,22.4 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.4-release-activity/22-4-look-and-feel-updates.md,Look and feel updates during the 22.4 release time frame,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-release-overview.md,22.3 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-admin-enhancements.md,22.3 Administrator enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-integration-enhancements.md,22.3 Integration enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-mobile-enhancements.md,mobile updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-other-enhancements.md,other updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-project-enhancements.md,project updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-resource-management-enhancements.md,resource management updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-reporting-enhancements.md,reporting updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.3-release-activity/22-3-look-and-feel-updates.md,Look-and-feel updates during the 22.3 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-release-overview.md,22.2 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-admin-enhancements.md,22.2 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-project-enhancements.md,22.2&nbsp;Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-resource-management-enhancements.md,22.2 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-home-enhancements.md,22.2 Home enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-mobile-enhancements.md,22.2 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-integration-enhancements.md,22.2 Integration enhancements,"Product Announcements, Workfront Integrations and Apps",,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-other-enhancements.md,22.2 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.2-release-activity/22-2-look-and-feel-updates.md,Look-and-feel updates during the 22.2 release timeframe,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-release-overview.md,22.1 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-admin-enhancements.md,22.1 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-project-enhancements.md,22.1 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-resource-mgt-enhancements.md,22.1 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-requests-enhancements.md,22.1 Requests enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-proofing-enhancements.md,22.1 Proofing enhancements,"Product Announcements, Workfront Proof, Digital Content and Documents",,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-other-enhancements.md,22.1 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/22.1-release-activity/22-1-mobile-enhancements.md,22.1 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21.4-release-overview.md,21.4 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-admin-enhancements.md,21.4 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-agile-enhancements.md,21.4 Agile enhancements,"Product Announcements, Agile",,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-project-enhancements.md,21.4 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-resource-management-enhancements.md,21.4 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-reporting-enhancements.md,21.4 Reporting enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-requests-enhancements.md,21.4 Requests enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-proofing-enhancements.md,21.4 Proofing enhancements,"Product Announcements, Workfront Proof, Digital Content and Documents",,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-integration-enhancements.md,21.4 Integration enhancements,"Product Announcements, Workfront Integrations and Apps",,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-mobile-enhancements.md,21.4 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.4-release-activity/21-4-other-enhancements.md,21.4 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-release-overview.md,21.3 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-admin-enhancements.md,21.3 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-project-enhancements.md,21.3 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-resource-management-enhancements.md,21.3 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-requests-enhancements.md,21.3 Requests enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-proofing-enhancements.md,21.3 Proofing enhancements,"Product Announcements, Workfront Proof, Digital Content and Documents",,,
help/quicksilver/product-announcements/product-releases/21.3-release-activity/21-3-other-enhancements.md,21.3 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-release-overview.md,21.2 Release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-admin-enhancements.md,21.2 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-project-enhancements.md,21.2 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-requests-enhancements.md,21.2 Requests enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-resource-management-enhancements.md,21.2 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-reporting-management-enhancements.md,21. 2 Reporting enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-proofing-enhancements.md,21.2 Proofing enhancements,"Product Announcements, Workfront Proof, Digital Content and Documents",,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-integration-enhancements.md,21.2 Integration enhancements,"Product Announcements, Workfront Integrations and Apps",,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-other-enhancements.md,21.2 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.2-release-activity/21-2-mobile-enhancements.md,21.2 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-release-overview.md,21.1 release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-admin-enhancements.md,21.1 Administrator enhancements,"Product Announcements, System Setup and Administration",,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-resource-mgt-enhancements.md,21.1 Resource Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-project-mgt-enhancements.md,21.1 Project Management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-enhanced-analytics-improvements.md,21.1 Enhanced analytics improvements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-integration-enhancements.md,21.1 Integration enhancements,"Product Announcements, Workfront Integrations and Apps",,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-mobile-enhancements.md,21.1 Mobile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/21.1-release-activity/21-1-other-enhancements.md,21.1 Other enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-activity.md,Adobe Workfront Fusion release activity overview,"Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-6-12.md,"Workfront Fusion release activity Week of June 12, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-5-15.md,"Workfront Fusion release activity Week of May 15, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-5-2.md,"Workfront Fusion release activity Week of May 1, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-4-20.md,"Workfront Fusion release activity Week of April 17, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-3-21.md,"Workfront Fusion release activity Week of March 20, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-2023-3-6.md,"Workfront Fusion release activity Week of March 6, 2023","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-dec-12-22.md,"Workfront Fusion release activity Week of December 12, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-nov-14-22.md,"'Workfront Fusion release activity: Week of November 14, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-nov-9-22.md,"'Workfront Fusion release activity: Week of November 7, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-oct-17-22.md,"'Workfront Fusion release activity: Week of October 17, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-oct-3-22.md,"'Workfront Fusion release activity: Week of October 3, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-sept-26-22.md,"'Workfront Fusion release activity: Week of September 26, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-sept-19-22.md,"'Workfront Fusion release activity: Week of September 19, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-july-11-22.md,"'Workfront Fusion release activity: Week of July 11, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jun-27-22.md,"'Workfront Fusion release activity: Week of June 27, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jun-20-22.md,"'Workfront Fusion release activity: Week of June 20, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-may-16-22.md,"'Workfront Fusion release activity: Week of May 16, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-may-9-22.md,"'Workfront Fusion release activity: Week of May 9, 2022'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-apr-25-22.md,"Workfront Fusion release activity:&nbsp;Week of April 25, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-apr-18-22.md,"Workfront Fusion release activity:&nbsp;Week of April 18, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-mar-21-22.md,"Workfront Fusion release activity:&nbsp;Week of March 21, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-28-22.md,"Workfront Fusion release activity:&nbsp;Week of February 28, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-21-22.md,"Workfront Fusion release activity:&nbsp;Week of February 21, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-14-22.md,"Workfront Fusion release activity:&nbsp;Week of February 14, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-7-21.md,"Workfront Fusion release activity:&nbsp;Week of February 7, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jan-3-22.md,"Workfront Fusion release activity:&nbsp;Week of January 3, 2022","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-nov-29-21.md,"Workfront Fusion release activity:&nbsp;Week of November 29, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-nov-15-21.md,"Workfront Fusion release activity:&nbsp;Week of November 15, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-nov-8-21.md,"Workfront Fusion release activity:&nbsp;Week of November 8, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-oct-4-21.md,"Workfront Fusion release activity:&nbsp;Week of October 4, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-sept-13-21.md,"Workfront Fusion release activity:&nbsp;Week of September 13, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-aug-30-21.md,"Workfront Fusion release activity:&nbsp;Week of August 30, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-aug-23-21.md,"Workfront Fusion release activity:&nbsp;Week of August 23, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-aug-2.md,"Workfront Fusion release activity:&nbsp;Week of August 2, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jul-26.md,"Workfront Fusion release activity:&nbsp;Week of July 26, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jun-28.md,"'Workfront Fusion release activity: Week of June 28, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jun-21.md,"'Workfront Fusion release activity: Week of June 21, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-may-17.md,"'Workfront Fusion release activity: Week of May 17, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-may-10.md,"'Workfront Fusion release activity: Week of May 10, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-may-3.md,"'Workfront Fusion release activity: Week of May 3, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-apr-26.md,"Workfront Fusion release activity:&nbsp;Week of April 26, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-apr-19.md,"'Workfront Fusion release activity: Week of April 19, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-mar-8.md,"'Workfront Fusion release activity: Week of March 8, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-15.md,"Workfront Fusion release activity:&nbsp;Week of February 15, 2021","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-feb-1.md,"'Workfront Fusion release activity: Week of February 1, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jan-25.md,"'Workfront Fusion release activity: Week of January 25, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jan-18.md,"'Workfront Fusion release activity: Week of January 18, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jan-11.md,"'Workfront Fusion release activity: Week of January 11, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-jan-4.md,"'Workfront Fusion release activity: Week of January 4, 2021'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-aug-17.md,"'Workfront Fusion release activity: Week of August 17, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-aug-24.md,"'Workfront Fusion release activity: Week of August 24, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-dec-7.md,"'Workfront Fusion release activity: Week of December 7, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-nov-2.md,"'Workfront Fusion release activity: Week of November 2, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-nov-16.md,"'Workfront Fusion release activity: Week of November 16, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-nov-30.md,"'Workfront Fusion release activity: Week of November 30, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/fusion-release-activity/fusion-release-archive/fusion-release-archive-2020/fusion-sept-21.md,"'Workfront Fusion release activity: Week of September 21, 2020'","Product Announcements, Workfront Fusion",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-activity.md,Adobe Workfront Scenario Planner release activity,"Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-21-3.md,Adobe Workfront Scenario Planner with the 21.3 release,"Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-21-2.md,Adobe Workfront Scenario Planner with the 21.2 release,"Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-21-1.md,Adobe Workfront Scenario Planner with the 21.1 release,"Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-20.4.md,"Workfront Scenario Planner with the 20.4 release - October 14, 2020","Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/scenario-planner-release-activity/sp-release-20-3.md,"Workfront Scenario Planner with the 20.3 release - August 14, 2020","Product Announcements, Workfront Scenario Planner",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-release-activity.md,Adobe Workfront Goals release activity,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-3-release/goals-23-3-release.md,Adobe Workfront Goals with the 23.3 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-3-release/goals-23-3-may-5.md,"Adobe Workfront Goals 23.3 release activity Week of May 1, 2023","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-2-release/goals-23-2-release.md,Adobe Workfront Goals with the 23.2 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-2-release/goals-march.md,"Adobe Workfront Goals 23.2 release activity Week of March 20, 2023","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-1-release/goals-23-1-release.md,Adobe Workfront Goals with the 23.1 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-23-1-release/goals-jan.md,"Adobe Workfront Goals 23.1 release activity Week of December 5, 2023","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.2-release/goals-release-21-2.md,Adobe Workfront Goals with the 21.2 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.2-release/goals-apr-19.md,"'Adobe Workfront Goals 21.2 release activity: Week of April 19, 2021'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.2-release/goals-apr-5.md,"'Adobe Workfront Goals 21.2 release activity: Week of April 5, 2021'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.2-release/goals-feb-15.md,"'Adobe Workfront Goals 21.2 release activity: Week of February 15, 2021'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-release-21-1.md,Adobe Workfront Goals with the 21.1 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.1-release/goals-jan-11.md,"Adobe Workfront Goals 21.1 release activity:&nbsp;Week of January 11, 2021","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.1-release/goals-dec-14.md,"'Adobe Workfront Goals 21.1 release activity: Week of December 14, 2020'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.1-release/goals-nov-30.md,"'Adobe Workfront Goals 21.1 release activity: Week of November 30, 2020'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-21.1-release/goals-nov-16.md,"'Adobe Workfront Goals 21.1 release activity: Week of November 16, 2020'","Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-release-20-4.md,Workfront Goals with the 20.4 release,"Product Announcements, Workfront Goals",,,
help/quicksilver/product-announcements/product-releases/goals-release-activity/goals-release-20.3.md,"Workfront Goals with the 20.3 release - August 14, 2020","Product Announcements, Workfront Goals",,,
./help/quicksilver/product-announcements/product-releases/workfront-proof-release-activity/proof-23-3-release/proof-23-3-overview.md,Adobe Workfront Proof with the 23.3 release,"Product Announcements, Workfront Proof",,,
./help/quicksilver/product-announcements/product-releases/workfront-proof-release-activity/proof-23-3-release/proof-23-3-jul-17.md,23.3 Proofing enhancements,"Product Announcements, Workfront Proof",,,
